"Parent Molecule ChEMBL ID;""Parent Molecule Name"";""Parent Molecule Type"";""Max Phase"";""First Approval"";""USAN Stem"";""Smiles"";""Mechanism of Action"";""Mechanism Comment"";""Selectivity Comment"";""Target ChEMBL ID"";""Target Name"";""Action Type"";""Target Type"";""Target Organism"";""Binding Site Name"";""Binding Site Comment"";""References"";""Synonyms"";""Parent Molecule ChEMBL ID""",,,,,,,,,,,
"CHEMBL1950554;""BINODENOSON"";""Small molecule"";""3"";""None"";""'-denoson'"";""Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"";""Adenosine A2a receptor agonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""AGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL1950554': [{'ref_id': '19920048'", 'ref_url': 'http://europepmc.org/abstract/MED/19920048'," 'ref_type': 'PubMed'}]}"";""Binodenoson (BAN", INN, MI, USAN," USAN)|"";""CHEMBL1950554""",,,,,
"CHEMBL2105747;""TOZADENANT"";""Small molecule"";""3"";""None"";""'-adenant'"";""COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12"";""Adenosine A2a receptor antagonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""ANTAGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL2105747': [{'ref_id': 'http://www.biotie.com/product-portfolio/syn115.aspx?sc_lang=en'", 'ref_url': 'http://www.biotie.com/product-portfolio/syn115.aspx?sc_lang=en', 'ref_type': 'Other'}, {'ref_id': '21123574', 'ref_url': 'http://europepmc.org/abstract/MED/21123574', 'ref_type': 'PubMed'}, {'ref_id': '25082853', 'ref_url': 'http://europepmc.org/abstract/MED/25082853'," 'ref_type': 'PubMed'}]}"";""Tozadenant (INN", USAN," USAN)|"";""CHEMBL2105747""",
"CHEMBL447664;""VIPADENANT"";""Small molecule"";""2"";""None"";""'-adenant'"";""Cc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N"";""Adenosine A2a receptor antagonist"";""Decvelopment of compound against Parkinson's discontinued but Vernalis has outlicensed the compound to Redox Therapies for use in immuno-oncology.  Also high potency at ADORA2B"," ADORA1A and ADORA3"";"""";""CHEMBL251"";""Adenosine receptor A2a"";""ANTAGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL447664': [{'ref_id': '19072055'", 'ref_url': 'http://europepmc.org/abstract/MED/19072055', 'ref_type': 'PubMed'}, {'ref_id': '9279378', 'ref_url': 'http://europepmc.org/abstract/MED/9279378'," 'ref_type': 'PubMed'}]}"";"""";""CHEMBL447664""",,,,,
"CHEMBL1950651;""EVODENOSON"";""Small molecule"";""2"";""None"";""'-denoson'"";""COC(=O)N1CCC(CC#Cc2nc(N)c3ncn([C@@H]4O[C@H](C(=O)NC5CC5)[C@@H](O)[C@H]4O)c3n2)CC1"";""Adenosine A2a receptor agonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""AGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL1950651': [{'ref_id': '20111666'", 'ref_url': 'http://europepmc.org/abstract/MED/20111666'," 'ref_type': 'PubMed'}]}"";""Evodenoson (INN", USAN," USAN)|"";""CHEMBL1950651""",,,,,,,
"CHEMBL431770;""ISTRADEFYLLINE"";""Small molecule"";""4"";""2013"";""'-fylline'"";""CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O"";""Adenosine A2a receptor antagonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""ANTAGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL431770': [{'ref_id': '26415982'", 'ref_url': 'http://europepmc.org/abstract/MED/26415982'," 'ref_type': 'PubMed'}]}"";""Istradefylline (INN", JAN, MI," USAN)|"";""CHEMBL431770""",,,,,,
"CHEMBL1950649;""APADENOSON"";""Small molecule"";""3"";""None"";""'-denoson'"";""CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC[C@H]4CC[C@H](C(=O)OC)CC4)nc32)[C@H](O)[C@@H]1O"";""Adenosine A2a receptor agonist"";""All registered studies Discontinued Developed as pharmacologic stress agent for myocardial perfusion imaging."";"""";""CHEMBL251"";""Adenosine receptor A2a"";""AGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL1950649': [{'ref_id': '16524538'", 'ref_url': 'http://europepmc.org/abstract/MED/16524538', 'ref_type': 'PubMed'}, {'ref_id': '21185259', 'ref_url': 'http://europepmc.org/abstract/MED/21185259'," 'ref_type': 'PubMed'}]}"";""Apadenoson (INN", USAN," USAN)|"";""CHEMBL1950649""",,,,
"CHEMBL1950553;""SONEDENOSON"";""Small molecule"";""2"";""None"";""'-denoson'"";""Nc1nc(OCCc2ccc(Cl)cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"";""Adenosine A2a receptor agonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""AGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL1950553': [{'ref_id': '16654164'", 'ref_url': 'http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164'," 'ref_type': 'PubMed'}]}"";""Sonedenoson (INN", USAN," INN)|"";""CHEMBL1950553""",,,,,,,
"CHEMBL1096896;""UK432097"";""Small molecule"";""2"";""None"";"""";""CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O"";""Adenosine A2a receptor agonist"";""Phase 2 trial terminated"," poor efficacy results"";"""";""CHEMBL251"";""Adenosine receptor A2a"";""AGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL1096896': [{'ref_id': '16654164'", 'ref_url': 'http://www.ncbi.nlm.nih.gov/pubmed/?term=16654164', 'ref_type': 'PubMed'}, {'ref_id': '22824275', 'ref_url': 'http://europepmc.org/abstract/MED/22824275', 'ref_type': 'PubMed'}, {'ref_id': 'UK-432,097', 'ref_url': 'http://en.wikipedia.org/wiki/UK-432,097'," 'ref_type': 'Wikipedia'}]}"";""Uk432097"";""CHEMBL1096896"""
"CHEMBL4740383;""ETRUMADENANT"";""Small molecule"";""2"";""None"";""'-adenant'"";""Cc1c(C#N)cccc1-c1cc(-c2cn(Cc3cccc(C(C)(C)O)n3)nn2)nc(N)n1"";""Adenosine A2a receptor antagonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""ANTAGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL4740383': [{'ref_id': 'https://arcusbio.com/wp-content/uploads/2020/09/AB928_ESMO_Poster_FINAL.pdf'", 'ref_url': 'https://arcusbio.com/wp-content/uploads/2020/09/AB928_ESMO_Poster_FINAL.pdf', 'ref_type': 'Other'}, {'ref_id': 'https://ascopubs.org/doi/abs/10.1200/JCO.2019.37.15_suppl.2604', 'ref_url': 'https://ascopubs.org/doi/abs/10.1200/JCO.2019.37.15_suppl.2604', 'ref_type': 'Other'}, {'ref_id': '30569245', 'ref_url': 'http://europepmc.org/abstract/MED/30569245'," 'ref_type': 'PubMed'}]}"";""Etrumadenant (INN"," USAN)|"";""CHEMBL4740383""",,
"CHEMBL5314441;""SIPAGLADENANT"";""Small molecule"";""2"";""None"";""'-adenant'"";""Cc1ccc(C(=O)Nc2nc(-c3ccco3)c(C(=O)C3CCOCC3)s2)cn1"";""Adenosine A2a receptor inverse agonist"";"""";"""";""CHEMBL251"";""Adenosine receptor A2a"";""INVERSE AGONIST"";""SINGLE PROTEIN"";""Homo sapiens"";"""";"""";""{'CHEMBL5314441': [{'ref_id': '36894319'", 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/36894319/', 'ref_type': 'PubMed'}, {'ref_id': '37741687', 'ref_url': 'https://pubmed.ncbi.nlm.nih.gov/37741687/'," 'ref_type': 'PubMed'}]}"";""Sipagladenant (INN)|"";""CHEMBL5314441""",,,,,,
