generated,ZINC000018043251,ZINC000000897089,ZINC000000537964,ZINC000019796168,ZINC000013818943,ZINC000000608213,ZINC000000002226,ZINC000001530968,ZINC000000538275,ZINC000013763987,ZINC000000591993,ZINC000019632706,ZINC000000001084,ZINC000003874185,ZINC000019632912,ZINC000004340269,ZINC000000057674,ZINC000001530689,ZINC000000001290,ZINC000000897085,ZINC000003869685,ZINC000003807804,ZINC000000403567,ZINC000003871576,ZINC000000607971,ZINC000000896740,ZINC000000596881,ZINC000000643055,ZINC000085205448
4eiy_inpaint.sdf#0,0.070588,0.077670,0.077670,0.115044,0.078261,0.049383,0.068182,0.062500,0.064220,0.045455,0.087379,0.087379,0.071429,0.077670,0.085106,0.057471,0.070588,0.063830,0.064103,0.077670,0.053191,0.054348,0.102273,0.054945,0.114583,0.114583,0.114583,0.114583,0.062500
4eiy_inpaint.sdf#1,0.056180,0.075472,0.075472,0.084034,0.076271,0.073171,0.054348,0.086420,0.081818,0.043956,0.105769,0.105769,0.068966,0.075472,0.071429,0.067416,0.080460,0.072917,0.061728,0.075472,0.062500,0.111111,0.086957,0.064516,0.089109,0.089109,0.078431,0.078431,0.105263
4eiy_inpaint.sdf#2,0.043478,0.082353,0.082353,0.070000,0.071429,0.015385,0.041667,0.031250,0.077778,0.028169,0.056818,0.056818,0.044118,0.082353,0.064103,0.000000,0.028571,0.051948,0.066667,0.082353,0.025641,0.026316,0.068493,0.026667,0.047619,0.047619,0.060241,0.060241,0.050633
4eiy_inpaint.sdf#3,0.115385,0.098592,0.098592,0.120482,0.083333,0.061224,0.089286,0.061224,0.077922,0.053571,0.082192,0.082192,0.140000,0.098592,0.095238,0.035088,0.115385,0.063492,0.086957,0.098592,0.064516,0.049180,0.122807,0.086207,0.072464,0.072464,0.072464,0.072464,0.078125
4eiy_inpaint.sdf#4,0.064516,0.088608,0.088608,0.086022,0.087912,0.034483,0.061538,0.052632,0.109756,0.080645,0.115385,0.115385,0.065574,0.088608,0.084507,0.015152,0.064516,0.119403,0.094340,0.088608,0.057143,0.058824,0.074627,0.059701,0.093333,0.093333,0.108108,0.108108,0.115942
4eiy_inpaint.sdf#5,0.075472,0.054795,0.054795,0.057471,0.071429,0.040816,0.052632,0.040816,0.064935,0.035714,0.068493,0.068493,0.076923,0.054795,0.030303,0.054545,0.055556,0.031250,0.042553,0.054795,0.065574,0.032787,0.067797,0.068966,0.028169,0.028169,0.028169,0.028169,0.079365
4eiy_inpaint.sdf#6,0.076923,0.061224,0.061224,0.112150,0.063636,0.026316,0.060976,0.054054,0.068627,0.049383,0.093750,0.093750,0.077922,0.061224,0.055556,0.024096,0.063291,0.056818,0.055556,0.061224,0.045455,0.046512,0.097561,0.047059,0.075269,0.075269,0.075269,0.075269,0.091954
4eiy_inpaint.sdf#7,0.125000,0.077922,0.077922,0.088889,0.078652,0.036364,0.064516,0.055556,0.073171,0.049180,0.063291,0.063291,0.107143,0.077922,0.072464,0.049180,0.086207,0.043478,0.057692,0.077922,0.059701,0.078125,0.112903,0.062500,0.053333,0.053333,0.053333,0.053333,0.057143
4eiy_inpaint.sdf#8,0.092593,0.082192,0.082192,0.093023,0.121951,0.039216,0.068966,0.060000,0.090909,0.052632,0.126761,0.126761,0.094340,0.082192,0.076923,0.052632,0.053571,0.079365,0.085106,0.082192,0.063492,0.031746,0.101695,0.066667,0.056338,0.056338,0.056338,0.056338,0.111111
4eiy_inpaint.sdf#9,0.111111,0.081081,0.081081,0.091954,0.068966,0.018868,0.086207,0.018868,0.049383,0.033898,0.080000,0.080000,0.092593,0.081081,0.044118,0.033898,0.052632,0.045455,0.040000,0.081081,0.062500,0.031250,0.100000,0.065574,0.027027,0.027027,0.027027,0.027027,0.092308
