smiles,valid,MW,LogP,HBA,HBD,TPSA,RotBonds,QED,SA_score,Lipinski,max_tanimoto
O=C(O)C1=C(O)C=CC=C1,1,138.12,1.01,2,2,57.53,1,0.6103,3.43,5,0.1892
O=C1NC=C2C=CC=CN12,1,134.14,0.94,1,1,32.34,0,0.5633,3.86,5,0.1702
CC1=C2CC(=O)C[C@H]3C[C@H](O)CC(=C23)C(N(C)C)=C1,1,259.35,2.19,3,1,40.54,1,0.838,4.29,5,0.1404
COCC1=C2CCCN2C(=O)N(C[C@H](O)C2=CC(C(=O)O)=C(O)C=C2)C1=O,1,376.37,0.7,6,3,127.61,6,0.658,4.16,5,0.1778
O=C(O)C1=CC=C(CCN2N=C(C=C3C=CC=CC3)C(C(=O)O)=C2O)C=C1,1,366.37,2.85,5,3,110.43,6,0.7239,4.15,5,0.1628
CC(C)(C)CC1=CC=CC2=C(O)N(CCC3=CC=C(C(=O)O)C=C3)N=CN12,1,367.45,4.06,5,2,76.37,5,0.8191,4.24,5,0.1525
COC1=CC2=CC=C(O)C=C2N2C(=O)C(CN3C=CC(C)=CC3=O)=CC=C12,1,362.39,2.75,4,1,70.08,3,0.5689,4.29,5,0.1552
O=C1N[C@@H]2C[C@H](CC=CNC3=CC=CC(=C3)OC3=CC=CC1=C3)CNC2=O,1,363.42,1.85,4,3,79.46,0,0.6722,6.88,5,0.1746
COC1=CC2=C(C3=C(C)C=C(CO)C=C3O)C(=O)N=C3N(C)CCC(=C1)N32,1,367.41,1.89,6,2,85.6,3,0.7349,4.21,5,0.15
C[C@H]1CN(C)C2=C(O)C3=C4C(=CC(O)=C3)CC3=C5C(=C(O)C=C3)CN1C2=C54,1,360.41,3.43,5,3,67.17,0,0.4463,4.92,5,0.169
CC1=CC2=C(N=C(C3(C)CCNCC3)OC2)C(C2=CC=CC(C(=O)O)=C2)=C1,1,364.45,3.45,4,2,70.92,3,0.8513,4.17,5,0.1512
CCN1C(=O)N(C2CCCC2)C2=C1C(C(=O)C1=C(F)C=CC=C1)=CC(Cl)=C2,1,386.85,4.88,2,0,40.62,4,0.5945,3.76,5,0.1548
