generated,ZINC000018043251,ZINC000000897089,ZINC000000537964,ZINC000019796168,ZINC000013818943,ZINC000000608213,ZINC000000002226,ZINC000001530968,ZINC000000538275,ZINC000013763987,ZINC000000591993,ZINC000019632706,ZINC000000001084,ZINC000003874185,ZINC000019632912,ZINC000004340269,ZINC000000057674,ZINC000001530689,ZINC000000001290,ZINC000000897085,ZINC000003869685,ZINC000003807804,ZINC000000403567,ZINC000003871576,ZINC000000607971,ZINC000000896740,ZINC000000596881,ZINC000000643055,ZINC000085205448
0.sdf,0.073171,0.084746,0.084746,0.053333,0.069444,0.117647,0.068182,0.117647,0.112903,0.097561,0.140351,0.140351,0.075000,0.084746,0.122449,0.097561,0.189189,0.152174,0.161290,0.084746,0.155556,0.136364,0.063830,0.166667,0.052632,0.052632,0.052632,0.052632,0.170213
1.sdf,0.166667,0.095238,0.095238,0.090909,0.078947,0.048780,0.083333,0.075000,0.072464,0.063830,0.129032,0.129032,0.116279,0.095238,0.111111,0.041667,0.166667,0.094340,0.078947,0.095238,0.096154,0.145833,0.170213,0.102041,0.083333,0.083333,0.083333,0.083333,0.153846
10.sdf,0.103448,0.105263,0.105263,0.087912,0.089888,0.094340,0.135593,0.094340,0.085366,0.140351,0.103896,0.103896,0.086207,0.105263,0.056338,0.048387,0.084746,0.106061,0.098039,0.105263,0.090909,0.029412,0.129032,0.095238,0.052632,0.052632,0.052632,0.052632,0.102941
100.sdf,0.109589,0.122222,0.122222,0.126214,0.085714,0.071429,0.076923,0.119403,0.177778,0.064935,0.146067,0.146067,0.111111,0.122222,0.108434,0.051282,0.109589,0.097561,0.123077,0.122222,0.141026,0.060976,0.101266,0.131579,0.114943,0.114943,0.114943,0.114943,0.135802
101.sdf,0.102941,0.104651,0.104651,0.145833,0.102041,0.061538,0.054054,0.078125,0.162791,0.117647,0.103448,0.103448,0.104478,0.104651,0.102564,0.070423,0.086957,0.120000,0.155172,0.104651,0.077922,0.080000,0.109589,0.081081,0.083333,0.083333,0.109756,0.109756,0.102564
102.sdf,0.101449,0.078652,0.078652,0.121212,0.123711,0.076923,0.053333,0.093750,0.147727,0.115942,0.089888,0.089888,0.102941,0.078652,0.101266,0.069444,0.070423,0.118421,0.152542,0.078652,0.076923,0.093333,0.108108,0.080000,0.069767,0.069767,0.095238,0.095238,0.087500
103.sdf,0.102941,0.079545,0.079545,0.122449,0.090909,0.078125,0.114286,0.095238,0.149425,0.085714,0.116279,0.116279,0.104478,0.079545,0.102564,0.055556,0.086957,0.090909,0.155172,0.079545,0.121622,0.065789,0.109589,0.142857,0.137500,0.137500,0.109756,0.109756,0.116883
104.sdf,0.072464,0.105882,0.105882,0.090000,0.059406,0.046154,0.084507,0.046154,0.087912,0.056338,0.091954,0.091954,0.057971,0.105882,0.049383,0.027397,0.174603,0.064103,0.047619,0.105882,0.108108,0.066667,0.081081,0.112676,0.058824,0.058824,0.058824,0.058824,0.103896
105.sdf,0.111111,0.086957,0.086957,0.150000,0.097087,0.121212,0.121622,0.104478,0.141304,0.065789,0.097826,0.097826,0.112676,0.086957,0.083333,0.065789,0.066667,0.085366,0.090909,0.086957,0.113924,0.061728,0.116883,0.103896,0.103448,0.103448,0.116279,0.116279,0.096386
106.sdf,0.086957,0.104651,0.104651,0.089109,0.069307,0.150000,0.068493,0.112903,0.123596,0.070423,0.090909,0.090909,0.088235,0.104651,0.075000,0.055556,0.071429,0.063291,0.116667,0.104651,0.169014,0.065789,0.065789,0.142857,0.083333,0.083333,0.083333,0.083333,0.102564
