,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_1,0.09836065573770492,0.10084033613445378,0.058823529411764705,0.11450381679389313,0.08771929824561403,0.1328125,0.1,0.10204081632653061,0.0546875,0.08130081300813008,0.06481481481481481,0.104,0.0990990990990991,0.1349206349206349
Gen_2,0.09649122807017543,0.08928571428571429,0.06363636363636363,0.06201550387596899,0.07476635514018691,0.07086614173228346,0.09821428571428571,0.07746478873239436,0.06779661016949153,0.08771929824561403,0.04950495049504951,0.075,0.0761904761904762,0.12605042016806722
Gen_3,0.09565217391304348,0.12844036697247707,0.09259259259259259,0.11290322580645161,0.08411214953271028,0.11382113821138211,0.11711711711711711,0.14074074074074075,0.08547008547008547,0.12612612612612611,0.07,0.1111111111111111,0.08571428571428572,0.15384615384615385
Gen_4,0.06363636363636363,0.05555555555555555,0.09,0.08403361344537816,0.11458333333333333,0.0847457627118644,0.06481481481481481,0.0661764705882353,0.06306306306306306,0.07407407407407407,0.06521739130434782,0.11009174311926606,0.06060606060606061,0.09565217391304348
Gen_5,0.08653846153846154,0.1,0.10526315789473684,0.12612612612612611,0.10752688172043011,0.1588785046728972,0.14432989690721648,0.128,0.07547169811320754,0.10891089108910891,0.09302325581395349,0.11428571428571428,0.12222222222222222,0.12962962962962962
Gen_6,0.06796116504854369,0.12631578947368421,0.07368421052631578,0.0990990990990991,0.08695652173913043,0.1,0.08,0.08661417322834646,0.0673076923076923,0.07920792079207921,0.04597701149425287,0.08571428571428572,0.10112359550561797,0.11214953271028037
Gen_7,0.07317073170731707,0.10256410256410256,0.08771929824561403,0.09923664122137404,0.0990990990990991,0.1,0.1206896551724138,0.0958904109589041,0.07258064516129033,0.06504065040650407,0.0761904761904762,0.07936507936507936,0.09090909090909091,0.09302325581395349
Gen_8,0.10101010101010101,0.09278350515463918,0.10989010989010989,0.11009174311926606,0.125,0.12149532710280374,0.09183673469387756,0.096,0.1111111111111111,0.10204081632653061,0.07142857142857142,0.10784313725490197,0.07777777777777778,0.12380952380952381
Gen_9,0.09803921568627451,0.09,0.09473684210526316,0.09734513274336283,0.0967741935483871,0.09821428571428571,0.15789473684210525,0.1111111111111111,0.1188118811881188,0.09900990099009901,0.08139534883720931,0.10476190476190476,0.12359550561797752,0.14150943396226415
Gen_10,0.04950495049504951,0.10752688172043011,0.053763440860215055,0.06306306306306306,0.09090909090909091,0.06363636363636363,0.08333333333333333,0.06349206349206349,0.049019607843137254,0.07142857142857142,0.04819277108433735,0.06796116504854369,0.056179775280898875,0.10576923076923077
Gen_11,0.08571428571428572,0.11,0.0707070707070707,0.10526315789473684,0.08333333333333333,0.10619469026548672,0.08737864077669903,0.136,0.07476635514018691,0.13,0.06741573033707865,0.102803738317757,0.07368421052631578,0.16037735849056603
Gen_12,0.10377358490566038,0.07547169811320754,0.11224489795918367,0.10256410256410256,0.10309278350515463,0.11304347826086956,0.13861386138613863,0.09022556390977443,0.07272727272727272,0.10476190476190476,0.10112359550561797,0.12037037037037036,0.09375,0.11504424778761062
Gen_13,0.09803921568627451,0.12371134020618557,0.11827956989247312,0.12727272727272726,0.0625,0.10810810810810811,0.0784313725490196,0.10236220472440945,0.0660377358490566,0.14432989690721648,0.056818181818181816,0.10476190476190476,0.08695652173913043,0.12037037037037036
Gen_14,0.08333333333333333,0.09782608695652174,0.09090909090909091,0.10476190476190476,0.11904761904761904,0.10576923076923077,0.12087912087912088,0.11864406779661017,0.08247422680412371,0.10752688172043011,0.11842105263157894,0.1134020618556701,0.08235294117647059,0.10784313725490197
Gen_15,0.10256410256410256,0.09565217391304348,0.09009009009009009,0.128,0.11214953271028037,0.12903225806451613,0.10434782608695652,0.13768115942028986,0.1016949152542373,0.13274336283185842,0.057692307692307696,0.11764705882352941,0.08333333333333333,0.15
Gen_16,0.08035714285714286,0.09259259259259259,0.0660377358490566,0.10833333333333334,0.08823529411764706,0.11864406779661017,0.11214953271028037,0.11194029850746269,0.07017543859649122,0.09090909090909091,0.0625,0.08695652173913043,0.06862745098039216,0.14035087719298245
Gen_17,0.09523809523809523,0.09803921568627451,0.07,0.10434782608695652,0.08247422680412371,0.11504424778761062,0.10784313725490197,0.1171875,0.08411214953271028,0.10679611650485436,0.054945054945054944,0.09174311926605505,0.09574468085106383,0.1588785046728972
Gen_18,0.09345794392523364,0.14,0.09,0.11206896551724138,0.08080808080808081,0.12280701754385964,0.08490566037735849,0.15079365079365079,0.102803738317757,0.16,0.07692307692307693,0.11009174311926606,0.07142857142857142,0.16666666666666666
Gen_19,0.10434782608695652,0.12727272727272726,0.12264150943396226,0.13934426229508196,0.11428571428571428,0.1694915254237288,0.12612612612612611,0.13138686131386862,0.12280701754385964,0.125,0.125,0.11965811965811966,0.10576923076923077,0.20353982300884957
Gen_20,0.10101010101010101,0.15217391304347827,0.08602150537634409,0.1308411214953271,0.11235955056179775,0.1320754716981132,0.10309278350515463,0.15126050420168066,0.0891089108910891,0.125,0.08433734939759036,0.1188118811881188,0.10227272727272728,0.1568627450980392
Gen_21,0.09259259259259259,0.09523809523809523,0.0891089108910891,0.1016949152542373,0.09090909090909091,0.13157894736842105,0.11538461538461539,0.12307692307692308,0.12264150943396226,0.11428571428571428,0.06451612903225806,0.0990990990990991,0.10416666666666667,0.1651376146788991
Gen_22,0.08737864077669903,0.10101010101010101,0.10638297872340426,0.09734513274336283,0.0851063829787234,0.10810810810810811,0.1,0.12903225806451613,0.08653846153846154,0.12121212121212122,0.06896551724137931,0.13725490196078433,0.08695652173913043,0.12037037037037036
Gen_23,0.1092436974789916,0.06611570247933884,0.08771929824561403,0.13385826771653545,0.10909090909090909,0.1349206349206349,0.1111111111111111,0.1111111111111111,0.10833333333333334,0.09166666666666666,0.0761904761904762,0.0967741935483871,0.10091743119266056,0.11904761904761904
