,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_1,0.041666666666666664,0.09090909090909091,0.06349206349206349,0.06097560975609756,0.06557377049180328,0.06172839506172839,0.057971014492753624,0.09574468085106383,0.07042253521126761,0.1044776119402985,0.037037037037037035,0.05333333333333334,0.05,0.07692307692307693
Gen_2,0.05263157894736842,0.06944444444444445,0.09090909090909091,0.05747126436781609,0.09375,0.05813953488372093,0.0684931506849315,0.08,0.08,0.09722222222222222,0.05172413793103448,0.07692307692307693,0.0625,0.08536585365853659
Gen_3,0.07954545454545454,0.09523809523809523,0.0875,0.10309278350515463,0.08974358974358974,0.10416666666666667,0.06896551724137931,0.07894736842105263,0.09090909090909091,0.09302325581395349,0.05555555555555555,0.07608695652173914,0.09210526315789473,0.11827956989247312
Gen_4,0.07692307692307693,0.12371134020618557,0.08333333333333333,0.11711711711711711,0.18604651162790697,0.10810810810810811,0.0784313725490196,0.12903225806451613,0.0761904761904762,0.07766990291262135,0.08139534883720931,0.09433962264150944,0.0989010989010989,0.12037037037037036
Gen_5,0.08163265306122448,0.10752688172043011,0.11363636363636363,0.09259259259259259,0.14285714285714285,0.09345794392523364,0.11827956989247312,0.10743801652892562,0.08080808080808081,0.11702127659574468,0.10126582278481013,0.0891089108910891,0.08045977011494253,0.11650485436893204
Gen_6,0.07,0.09473684210526316,0.1,0.08181818181818182,0.11494252873563218,0.08256880733944955,0.12903225806451613,0.08870967741935484,0.10204081632653061,0.10416666666666667,0.1,0.0673076923076923,0.09195402298850575,0.09433962264150944
Gen_7,0.06,0.14444444444444443,0.12643678160919541,0.09259259259259259,0.21518987341772153,0.09345794392523364,0.08333333333333333,0.08064516129032258,0.11458333333333333,0.08247422680412371,0.07407407407407407,0.12244897959183673,0.13253012048192772,0.08490566037735849
Gen_8,0.05,0.07368421052631578,0.06593406593406594,0.05405405405405406,0.07954545454545454,0.05454545454545454,0.05102040816326531,0.07258064516129033,0.0707070707070707,0.08333333333333333,0.03614457831325301,0.07920792079207921,0.0449438202247191,0.07547169811320754
Gen_9,0.08823529411764706,0.1368421052631579,0.14444444444444443,0.11818181818181818,0.16091954022988506,0.11926605504587157,0.10101010101010101,0.12096774193548387,0.10891089108910891,0.1111111111111111,0.10843373493975904,0.09523809523809523,0.13793103448275862,0.10091743119266056
Gen_10,0.06,0.07291666666666667,0.06521739130434782,0.06306306306306306,0.09090909090909091,0.06363636363636363,0.07216494845360824,0.06349206349206349,0.08080808080808081,0.08247422680412371,0.06097560975609756,0.0891089108910891,0.06818181818181818,0.09523809523809523
